State,Price
Alabama,"$286,000"
Alaska,"$384,000"
Arizona,"$443,000"
Arkansas,"$259,000"
California,"$799,000"
Colorado,"$582,000"
Connecticut,"$432,000"
Delaware,"$335,000"
Florida,"$409,000"
Georgia,"$376,000"
Hawaii,"$713,000"
Idaho,"$460,000"
Illinois,"$295,000"
Indiana,"$258,000"
Iowa,"$239,000"
Kansas,"$282,000"
Kentucky,"$257,000"
Louisiana,"$260,000"
Maine,"$389,000"
Maryland,"$433,000"
Massachusetts,"$640,000"
Michigan,"$260,000"
Minnesota,"$353,000"
Mississippi,"$263,000"
Missouri,"$267,000"
Montana,"$527,000"
Nebraska,"$296,000"
Nevada,"$437,000"
New Hampshire,"$468,000"
New Jersey,"$498,000"
New Mexico,"$354,000"
New York,"$531,000"
North Carolina,"$378,000"
North Dakota,"$308,000"
Ohio,"$249,000"
Oklahoma,"$256,000"
Oregon,"$510,000"
Pennsylvania,"$300,000"
Rhode Island,"$471,000"
South Carolina,"$381,000"
South Dakota,"$332,000"
Tennessee,"$385,000"
Texas,"$362,000"
Utah,"$545,000"
Vermont,"$390,000"
Virginia,"$445,000"
Washington,"$621,000"
West Virginia,"$297,000"
Wisconsin,"$307,000"
Wyoming,"$323,000"
